area_type,location,size,bath,balcony,converted_sqft,availability,cluster,price
Super built-up  Area,Electronic City Phase II,0.25,0.0,0.3333333333333333,0.0008073161978238428,Dec,2,39.07
Plot  Area,Chikka Tirupathi,0.5,0.33333333333333337,1.0,0.0019888291925537135,Ready To Move,0,120.0
Built-up  Area,Uttarahalli,0.25,0.0,1.0,0.0011011639892592512,Ready To Move,0,62.0
Super built-up  Area,Lingadheeranahalli,0.25,0.0,0.3333333333333333,0.0011631475077651576,Ready To Move,2,95.0
Super built-up  Area,Kothanur,0.25,0.0,0.3333333333333333,0.0009175091196121209,Ready To Move,2,51.0
Super built-up  Area,Whitefield,0.25,0.0,0.3333333333333333,0.0008945522609062296,Ready To Move,2,38.0
Super built-up  Area,Old Airport Road,0.5,0.33333333333333337,0.3333333333333333,0.002089839370859635,May,1,204.0
Super built-up  Area,Rajaji Nagar,0.75,0.6666666666666666,0.3333333333333333,0.0025244892290245094,Ready To Move,1,600.0
Super built-up  Area,Marathahalli,0.25,0.0,0.3333333333333333,0.001001684268200389,Ready To Move,2,63.25
Plot  Area,Others,0.25,0.0,0.3333333333333333,0.0007797679673767733,Ready To Move,2,370.0
Super built-up  Area,Whitefield,0.25,0.0,0.6666666666666666,0.0013766462937299462,Feb,0,70.0
Plot  Area,Whitefield,0.5,0.33333333333333337,1.0,0.0021303964879067095,Ready To Move,0,295.0
Super built-up  Area,7th Phase JP Nagar,0.0,0.0,0.3333333333333333,0.0007644633949061791,Ready To Move,2,38.0
Built-up  Area,Gottigere,0.25,0.0,0.6666666666666666,0.00084098625725915,Ready To Move,0,40.0
Plot  Area,Sarjapur,0.5,0.33333333333333337,0.6666666666666666,0.0017209991743183152,Ready To Move,1,148.0
Super built-up  Area,Mysore Road,0.25,0.0,0.6666666666666666,0.0008983784040238782,Ready To Move,0,73.5
Super built-up  Area,Bisuvanahalli,0.25,0.0,0.6666666666666666,0.0009022045471415267,Ready To Move,0,48.0
Super built-up  Area,Raja Rajeshwari Nagar,0.25,0.0,1.0,0.001177686851612222,Ready To Move,0,60.0
Super built-up  Area,Others,0.5,0.33333333333333337,0.6666666666666666,0.002118918058553764,Ready To Move,1,290.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.00084098625725915,Ready To Move,0,48.0
Built-up  Area,Kengeri,0.0,0.0,0.3333333333333333,0.0004583719454942956,Ready To Move,2,15.0
Super built-up  Area,Binny Pete,0.25,0.0,0.3333333333333333,0.0013422110056711095,Dec,2,122.0
Plot  Area,Thanisandra,0.5,0.33333333333333337,0.6666666666666666,0.002141874917259655,Ready To Move,1,380.0
Super built-up  Area,Bellandur,0.25,0.0,0.3333333333333333,0.0013513937491534658,Ready To Move,2,103.0
Super built-up  Area,Thanisandra,0.0,0.0,0.0,0.0003895013693766218,Nov,2,25.25
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0009557705507886063,May,0,56.0
Super built-up  Area,Electronic City,0.0,0.0,0.3333333333333333,0.000504285662906078,Ready To Move,2,23.1
Built-up  Area,Whitefield,0.25,0.0,0.6666666666666666,0.0012312528552593017,Dec,0,81.0
Super built-up  Area,Ramagondanahalli,0.25,0.0,0.6666666666666666,0.0008800129170591652,Oct,0,48.77
Super built-up  Area,Electronic City,0.25,0.0,0.3333333333333333,0.0007835941104944219,Ready To Move,2,47.0
Super built-up  Area,Yelahanka,0.5,0.33333333333333337,0.0,0.0018931756146124998,Dec,2,186.0
Super built-up  Area,Bisuvanahalli,0.25,0.0,0.3333333333333333,0.0008218555416709073,Ready To Move,2,35.0
Super built-up  Area,Hebbal,0.25,0.0,0.6666666666666666,0.001346037148788758,Ready To Move,0,123.0
Super built-up  Area,Raja Rajeshwari Nagar,0.25,0.0,1.0,0.0012947668310122674,Ready To Move,0,57.39
Built-up  Area,Kasturi Nagar,0.25,0.0,0.3333333333333333,0.00147229987167116,Ready To Move,2,125.0
Super built-up  Area,Kanakpura Road,0.0,0.0,0.3333333333333333,0.0005348948078472665,Dec,2,36.0
Super built-up  Area,Electronics City Phase 1,0.25,0.0,0.3333333333333333,0.0008180293985532587,Ready To Move,2,45.5
Super built-up  Area,Kundalahalli,0.25,0.0,0.6666666666666666,0.0013184889183416883,Ready To Move,0,125.0
Super built-up  Area,Chikkalasandra,0.25,0.0,0.6666666666666666,0.0009863796957297949,Ready To Move,0,56.12
Built-up  Area,Uttarahalli,0.25,0.0,0.6666666666666666,0.0008738910880709275,Ready To Move,0,45.0
Built-up  Area,Murugeshpalya,0.25,0.0,0.3333333333333333,0.000990971067470973,Ready To Move,2,81.0
Super built-up  Area,Sarjapur  Road,0.25,0.0,0.6666666666666666,0.0009588314652827252,Dec,0,38.0
Super built-up  Area,Ganga Nagar,0.0,0.0,0.0,0.0004583719454942956,Ready To Move,2,38.0
Plot  Area,Yelahanka,0.0,0.0,0.0,0.000504285662906078,Ready To Move,2,48.0
Super built-up  Area,Kanakpura Road,0.25,0.0,0.6666666666666666,0.001017555109852395,Sep,0,91.79
Plot  Area,HSR Layout,0.0,0.0,0.3333333333333333,0.0004583719454942956,Ready To Move,2,200.0
Super built-up  Area,Doddathoguru,0.0,0.0,0.0,0.0007415065362002878,Ready To Move,2,33.0
Super built-up  Area,Whitefield,0.25,0.0,0.3333333333333333,0.0011157033331063155,Sep,2,94.82
Plot  Area,KR Puram,0.0,0.0,0.3333333333333333,0.0006114176702002374,Ready To Move,2,130.0
Built-up  Area,Others,0.0,0.0,0.3333333333333333,0.0006642184452237873,Ready To Move,2,36.0
Super built-up  Area,Others,0.25,0.0,0.3333333333333333,0.0009710751232592005,Ready To Move,2,50.0
Super built-up  Area,Bhoganhalli,0.25,0.0,0.3333333333333333,0.001277166572671084,Mar,2,99.0
Built-up  Area,Whitefield,0.5,0.33333333333333337,0.6666666666666666,0.0015373443046711851,Ready To Move,1,91.0
Super built-up  Area,Lakshminarayana Pura,0.25,0.0,0.6666666666666666,0.0009060306902591753,Ready To Move,0,75.0
Super built-up  Area,Yelahanka,0.25,0.0,1.0,0.0012236005690240046,Ready To Move,0,75.0
Super built-up  Area,Begur Road,0.25,0.0,0.6666666666666666,0.0009175091196121209,Ready To Move,0,44.0
Built-up  Area,Devanahalli,0.75,0.6666666666666666,0.3333333333333333,0.002455618652906836,Feb,1,192.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.0011470777066710336,Ready To Move,0,185.0
Plot  Area,Murugeshpalya,0.25,0.0,0.3333333333333333,0.0010759114446827708,Ready To Move,2,150.0
Super built-up  Area,Others,0.0,0.0,0.6666666666666666,0.0006420268151414257,Ready To Move,0,45.0
Plot  Area,Others,1.0,0.9999999999999999,0.6666666666666666,0.003362414571789541,Ready To Move,1,240.0
Super built-up  Area,Ganga Nagar,0.0,0.0,0.3333333333333333,0.0006458529582590742,Ready To Move,2,55.0
Plot  Area,Whitefield,1.0,0.9999999999999999,1.0,0.004361037925495811,Ready To Move,1,650.0
Built-up  Area,Varthur,0.25,0.0,0.6666666666666666,0.0008868999746709325,Ready To Move,0,44.0
Built-up  Area,Bommanahalli,0.5,0.33333333333333337,0.0,0.0022949206419655968,Ready To Move,2,140.0
Super built-up  Area,Doddathoguru,0.25,0.0,0.3333333333333333,0.00084098625725915,Ready To Move,2,62.0
Super built-up  Area,Gunjur,0.25,0.0,1.0,0.0008715954022003383,Apr,0,43.0
Super built-up  Area,Marathahalli,0.25,0.0,0.3333333333333333,0.000932813692082715,Ready To Move,2,57.0
Plot  Area,Devarachikkanahalli,0.25,0.0,0.0,0.0010322934131415773,Ready To Move,2,85.0
Super built-up  Area,Kanakpura Road,0.25,0.0,0.3333333333333333,0.0007682895380238277,Ready To Move,2,36.68
Plot  Area,Others,0.0,0.0,0.6666666666666666,0.0003818490831413247,Ready To Move,0,100.0
Super built-up  Area,Begur Road,0.25,0.0,0.3333333333333333,0.001038415242129815,Aug,2,80.58
Super built-up  Area,Hegde Nagar,0.25,0.0,0.3333333333333333,0.0011998784816945835,Ready To Move,2,101.0
Super built-up  Area,Haralur Road,0.25,0.0,0.3333333333333333,0.0009481182645533092,Apr,2,70.0
Super built-up  Area,Hennur Road,0.5,0.33333333333333337,0.6666666666666666,0.0015977973659300321,Ready To Move,1,140.0
Super built-up  Area,Kothannur,0.25,0.0,0.3333333333333333,0.0009221004913532991,Ready To Move,2,48.23
Super built-up  Area,Kalena Agrahara,0.25,0.0,1.0,0.0008792476884356354,Ready To Move,0,40.0
Built-up  Area,Others,0.5,0.33333333333333337,1.0,0.0019207238450595692,Ready To Move,0,205.0
Built-up  Area,Kaval Byrasandra,0.0,0.0,0.0,0.00035123993820013633,Ready To Move,2,22.0
Built-up  Area,ISRO Layout,1.0,0.9999999999999999,1.0,0.0033662407149071894,Ready To Move,1,250.0
Super built-up  Area,Others,0.25,0.0,0.6666666666666666,0.001269514286435787,Ready To Move,0,105.0
Built-up  Area,Hennur Road,0.75,0.6666666666666666,0.3333333333333333,0.0024506446668538925,Oct,1,224.5
Super built-up  Area,Yelahanka,0.25,0.0,0.6666666666666666,0.0010139279261768643,Mar,0,78.0
